"id","backup_id","details","description","status_name","communication_name","status_id","communication_id","created_at","updated_at","task_time","backup_account"
"9","212","not connecting","computer has not done a backup for 7 days","","","8","1","2016-08-03 21:39:59","2016-09-09 12:11:31","15",""
"15","209","not backing up","talked to client, she will give me a call when she is back at the office - successful backup on 9-14-2016. but backups are only taking place every couple of days, sending email about frequency of backups. May need to look at changing the frequency of backups - client responded via email to call - called office left message -","","","7","2","2016-08-04 18:37:51","2016-09-14 20:06:25","30",""
"16","252","Backup account is over quota","While monitoring your backup account, we noticed the account is over the maximum storage space. To ensure that your data is being protected, we would need to increase the available storage. The account is currently set at 10GB of Space. An additional 10GB of space, would cost an additional $48 per year. I can take care of this immediately with your approval. If you have questions, please give me a call.","","","7","1","2016-08-04 19:00:46","2016-09-14 17:45:23","15",""
"17","250","over quota","removed the full client backups from server - all user data is being backed up space is now using less than 300GB - changing account back to 600GB total space.","","","8","1","2016-08-04 21:37:13","2016-09-06 18:31:18","45",""
"18","255","over quota ","quickbooks search index taking up too much space - talked with joey and she will get back with me tomorrow. ","","","7","2","2016-08-04 22:21:48","2016-09-06 18:31:50","15",""
"19","239","Backup failed to complete. Details: exceeded storage FrontDesk -HP ","Can we schedule a time to go over your backup protection plan? You are currently exceeding your storage limit of 100GB. Any additional files on the systems may not be protected.","","","7","1","2016-08-04 22:37:05","2016-09-06 19:33:49","15",""
"20","248","failure to backup David-PC since 7/27/2016","While monitoring Three Rivers backup protection plan, we discovered that one of the systems, David-PC, has not backed up recently. For a successful backup to be completed, each system must remain powered on during scheduled backups. We can make adjustments to the scheduled times if needed.\n\nIf the user is out of the office, please let us know\n","","","8","1","2016-08-04 22:48:20","2016-09-07 22:27:36","15",""
"21","214","backup at 130% ","increased backup size from 120gb to 140gb until server has been changed out and reconfigured - \nsetup new online backup on new server - set folders shared and user shares as part of the backup to be backed up at 7pm everyday. \nWill remove the old server backup data. check back tomorrow on progress","","","8","2","2016-08-05 15:54:08","2016-09-22 15:15:02","45",""
"23","206","failed testing","failed testing","","","5","1","2016-08-10 16:02:51","2016-09-14 17:45:04","15",""
"24","205","over quota","over data plan - checking server to see if backing up unwanted items, setup new retention policies. temp increase to 520GB until response from customer","","","7","1","2016-08-26 20:08:06","2016-09-06 19:33:10","15",""
"25","239","no ","started manual backup on three devices alohaboh, frontdesk-hp, lori-hp ","","","5","1","2016-08-26 20:26:57","2016-09-14 17:45:48","15",""
"26","217","failed to backup devise AAHOME-DEBBIE on 8-25","sent email notification about failure","","","8","1","2016-08-26 20:37:35","2016-09-06 18:32:19","15",""
"27","232","way over quota Alma's arrest folder using 288 GB of data","checking to see what is using so much of the data","","","7","1","2016-08-26 20:56:16","2016-09-06 18:33:35","15",""
